Label,wid_x,wid_y,wew_x,wew_y,seed_x,seed_y,trkl_x,trkl_y,trkl_z,trkl_px,trkl_py,trkl_pz,h4_41,h4_42,h4_43,h4_44,h4_45,h4_46
0,9.102157711224303,9.502603261738336,4.989186507078253,4.246186307303832,-11.97999999999999,-0.45999999999999375,-8.060134,3.2502916,1859.909,-1.094315,-0.17689085,48.924362,-9999,-9999,-9999,-9999,-9999,-9999
0,14.514421181095107,5.213733999948811,7.009732836395008,2.3323735276162094,4.610000000000014,-0.45999999999999375,10.487788,4.5810304,1896.8287,-0.20855221,-0.11160166,51.117336,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,9.891231536865234,-9999
0,8.171674376122375,7.820600999923214,2.6722454909885167,1.4518177456313295,10.140000000000015,21.66000000000001,13.1059475,25.037395,1896.818,-0.06504864,0.7377583,50.234413,-9999,-9999,-9999,-9999,-9999,-9999
0,5.354399476131755,5.82457603070816,1.768802601514851,4.267116069721123,4.610000000000014,-0.45999999999999375,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,14.945446590159683,13.25082836521835,4.972916254785531,3.2914201949377757,10.140000000000015,10.600000000000009,11.448308,11.9182205,1896.824,-0.17033698,0.010270352,50.34087,-9999,-9999,-9999,-9999,-9999,-9999
0,0.0,0.0,0.0,0.0,26.730000000000018,65.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,0.0,0.0,0.0,0.0,4.610000000000014,10.600000000000009,7.8486333,11.853448,1896.8185,-0.26211202,0.017460216,50.416523,9.466787338256836,-9999,-9999,-9999,9.891231536865234,-9999
0,0.0,0.0,1.1102230246251565e-16,0.0,-0.9199999999999875,16.13000000000001,4.35536,19.64275,1896.8119,-0.45461422,0.024903813,49.60955,-9999,-9999,-9999,-9999,-9999,-9999
0,0.0,0.0,0.0,0.0,-0.9199999999999875,5.070000000000007,2.8264663,10.418033,1896.8083,-0.32053366,0.0675275,50.352985,-9999,-9999,-9999,-9999,-9999,9.164667129516602
0,0.0,7.8206009999232124,1.1055898899795395e-06,7.467657899568234,-23.039999999999992,10.600000000000009,-17.594116,15.771681,1896.7837,-1.8567349,0.17971702,42.744762,-9999,-9999,-9999,-9999,-9999,-9999
0,6.713709026230501,8.637975585877877,1.4801290205908417,1.9153265089723412,21.200000000000017,-28.11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
