n_evt,gpz,wid_x,wid_y,wew_x,wew_y,seed_x,seed_y,trkl_x,trkl_y,trkl_z,trkl_px,trkl_py,trkl_pz,E/p,h4_41,h4_42,h4_43,h4_44,h4_45,h4_46
12,52.592754,0.0,0.0,0.0,0.0,10.140000000000015,-0.45999999999999375,11.7982435,4.5396433,1896.8287,-0.2766117,0.10763878,50.0704,0.010285007,9.466787338256836,-9999,10.405887603759766,10.171592712402344,-9999,9.164667129516602
13,83.2739,0.0,0.0,0.0,0.0,4.610000000000014,5.070000000000007,10.676105,10.014122,1896.8217,-0.29429612,-0.03884401,50.51992,0.0051421784,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
14,55.864414,0.0,0.0,0.0,0.0,-6.449999999999989,-0.45999999999999375,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15,21.059917,0.0,0.0,0.0,0.0,-6.449999999999989,-5.989999999999995,-3.2395144,0.19439086,1859.8826,-0.688973,-0.29957202,48.68004,0.023524402,9.466787338256836,-11.931915283203125,-12.754112243652344,-12.988407135009766,-9.43876838684082,-9999
16,20.050396,0.0,0.0,0.0,0.0,-0.9199999999999875,21.66000000000001,3.639317,23.238707,1896.7913,-0.67341906,0.36898208,49.17608,0.021055872,32.62678909301758,34.388084411621094,33.565887451171875,33.33159255981445,-9999,9.164667129516602
17,66.222595,0.0,0.0,0.0,0.0,4.610000000000014,5.070000000000007,8.21131,9.616781,1896.8253,-0.3771842,0.0011618353,50.250034,0.009088435,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
18,70.8906,0.0,2.7650000000000006,3.072245920115411e-08,1.1774720052128422,-0.9199999999999875,-0.45999999999999375,2.4131556,3.6767,1896.8185,-0.34883597,0.09643955,50.43549,0.009385785,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
19,96.57133,0.0,0.0,0.0,0.0,10.140000000000015,5.070000000000007,12.4982815,10.304445,1896.8303,-0.26042926,0.073290914,55.121906,0.0049385256,9.466787338256836,-9999,10.405887603759766,-9999,-9999,9.164667129516602
20,97.79622,5.901546172167277,3.8001290182776115,1.2373374675582924,1.2355838486533597,-0.9199999999999875,16.13000000000001,3.8002946,17.957375,1896.8092,-0.24351464,0.056403786,50.42743,0.01737447,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
21,78.977066,0.0,0.0,0.0,0.0,-6.449999999999989,16.13000000000001,-3.8056774,17.199352,1896.7922,-0.30291155,0.012281286,50.498257,0.0055243284,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
22,31.003767,0.0,0.0,0.0,0.0,-0.9199999999999875,10.600000000000009,2.106992,15.337652,1896.8027,-0.4669816,0.013955532,49.416725,0.014586473,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
23,90.59335,8.295000000000002,2.7650000000000006,2.7984245420740543,0.9328081806913634,10.140000000000015,5.070000000000007,13.381519,9.952071,1896.8287,-0.25934142,0.062363956,51.76817,0.0062784753,9.466787338256836,-9999,10.405887603759766,-9999,-9999,9.164667129516602
24,97.69611,0.0,0.0,0.0,0.0,-6.449999999999989,5.070000000000007,-1.79666,9.893942,1896.8027,-0.15814137,-0.06481087,50.519596,0.0045303,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
25,84.72103,2.7650000000000006,0.0,0.9066241790449074,9.119006917816654e-09,4.610000000000014,-0.45999999999999375,6.9584465,1.3923115,1859.8533,-0.28187737,-0.056162816,51.89694,0.005568003,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
26,70.16408,0.0,4.515226092530326,9.912741045774999e-08,1.1250694413983724,4.610000000000014,-5.989999999999995,9.939464,-0.06015181,1859.8403,-0.31040666,-0.070378795,50.968513,0.01172515,9.466787338256836,-11.931915283203125,-12.754112243652344,10.171592712402344,9.891231536865234,-9999
27,39.627598,0.0,0.0,0.0,0.0,-6.449999999999989,10.600000000000009,-1.3961154,11.503603,1896.7948,-0.562284,-0.11893781,49.569256,0.013865575,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
28,90.90973,2.7650000000000006,0.0,0.6914671437467047,7.077203139628567e-08,-6.449999999999989,5.070000000000007,-0.41180328,7.8895593,1896.8097,-0.26209462,-0.077622704,51.758705,0.008069979,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
29,55.109375,0.0,0.0,0.0,0.0,-6.449999999999989,10.600000000000009,-2.9901838,14.280298,1896.8018,-0.29555193,0.02039795,50.214607,0.00781933,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
30,79.35563,0.0,0.0,0.0,0.0,10.140000000000015,-0.45999999999999375,13.406115,2.2223544,1859.8381,-0.1683838,0.03474087,50.450947,0.005653115,9.466787338256836,-9999,10.405887603759766,-9999,-9999,9.164667129516602
31,46.963776,0.0,0.0,0.0,0.0,-6.449999999999989,10.600000000000009,-1.6128992,14.530819,1896.8013,-0.48511824,-0.11356596,49.905373,0.009690861,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
32,58.348995,0.0,0.0,0.0,0.0,10.140000000000015,10.600000000000009,14.077116,16.260754,1896.8286,-0.26620537,-0.12893249,51.91241,0.007177968,9.466787338256836,-9999,10.405887603759766,-9999,-9999,9.164667129516602
33,31.93711,2.7650000000000006,0.0,0.813247889129098,3.7735665120437927e-07,-0.9199999999999875,10.600000000000009,1.3355198,14.149556,1896.7996,-0.40894875,0.09503003,49.176395,0.017176481,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-48.09877014160156,-10.165332794189453
34,76.41879,3.910300499961609,2.3945602414639735,0.7398011974020248,1.7275385432099402,-0.9199999999999875,5.070000000000007,2.7990172,5.890124,1896.8154,-0.22614497,0.003277887,50.445217,0.04793032,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
35,77.80673,0.0,0.0,0.0,0.0,4.610000000000014,16.13000000000001,10.246582,18.98097,1896.82,-0.29343712,0.037209302,50.322697,0.0056435834,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
36,69.82137,0.0,2.7650000000000006,1.461473079371542e-07,2.677052466403491,4.610000000000014,5.070000000000007,8.041687,11.102383,1896.8206,-0.27821282,-0.0493183,50.197147,0.0068556624,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
37,95.716705,0.0,0.0,0.0,0.0,4.610000000000014,5.070000000000007,10.057729,7.7404566,1896.8247,-0.12818058,0.052041456,51.759693,0.0044138376,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
38,90.25882,0.0,0.0,0.0,0.0,-0.9199999999999875,10.600000000000009,4.5762544,13.902677,1896.8124,-0.2313794,-0.0003609984,50.42619,0.00528219,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
39,70.80318,0.0,2.7650000000000006,4.670062227270078e-08,0.7941409692904855,4.610000000000014,-0.45999999999999375,6.770673,3.2535717,1859.8492,-0.2105595,0.076504104,50.3927,0.00649412,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
40,80.76251,0.0,0.0,8.881784197001252e-16,0.0,-6.449999999999989,-0.45999999999999375,-4.8184156,1.2016246,1859.8866,-0.29828334,0.03656727,50.374794,0.0054101013,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
41,42.856544,2.6068669999744056,2.6068669999744056,2.5832438223160463,1.2628678722427342,-0.9199999999999875,-0.45999999999999375,0.43686202,4.6597805,1896.8145,-0.43334803,0.1105371,49.645317,0.0135465115,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
