label,wew_x,wew_y,wid_x,wid_y,diff_x,diff_y,E/p
1,1.5843338322315998,1.4655519574685867,11.281221905306525,9.981665156781814,3.6200476990267125,3.7642834490901897,0.9891643925021952
1,2.0077390211568695,1.5242961481666728,8.507692307692311,8.338515052695158,2.5707656349149506,2.901524069356735,1.0332869545132621
1,3.1267033266274984,2.135596038828616,10.663046012640939,10.803723287959938,3.2768913553516708,1.8650974441081392,1.1790865919384026
1,5.345499917514233,1.823037319019388,12.140333835607652,12.363477284324178,-3.6910708044180875,2.3157025260512327,2.588457568206694
1,2.276824160745381,1.5493702228850335,11.703529975562454,10.924366750017544,2.27294160842289,2.9704420654364716,1.0356099699231067
1,7.384063936498618,1.8318221524378169,14.257261065739346,9.549860930243028,-0.05487695739437304,4.1487971402911565,1.4994207203984402
1,1.578011245030958,2.043042599519936,12.672460480004819,11.675091210154726,3.8658704055107203,4.537721491518903,1.0057059609796934
1,1.7716211569960036,2.7183662648953257,10.030511502411033,9.587105605389402,4.100353751642156,2.1980953905107583,1.0163649074066785
1,1.7990384900827412,1.655933870700959,10.771973005791466,9.735588165976417,4.547940043174619,4.316279828410553,1.001719267846007
1,2.1124425719385043,2.0041025076638683,11.155498641365163,10.990657623636542,4.789036622237369,4.5711789127329,1.0194264303357046
1,1.92500729859925,1.7726764290487274,10.917374123386997,10.106443786020881,2.426328399868135,4.453128312711515,0.9884674806563593
1,1.878065733736268,1.4545015377750745,10.524344305579417,7.93070403814458,3.9928992898272737,3.9904360011549223,1.0014052614232265
1,1.7167988729217383,1.659471002913343,10.505526593081086,11.355962581702393,4.823312041622758,3.0985542022690478,0.9794852425126772
1,1.1847008752498995,2.3309392289371904,6.607135139377733,9.269969201674838,3.5539657915399765,1.9567036851780735,1.0258595706289626
1,9.160754124205752,1.8041437251822363,13.043586865463691,9.077087069357344,-5.741962088644145,4.353004905222399,1.888174480856894
1,2.009543643356543,1.7105589750697614,9.31970997847252,9.549860930243025,5.063264216926048,3.8818694863565604,1.0206190892213771
1,7.081958231210408,2.099595360156963,9.33323257521371,10.555942677160077,-0.26929519524524714,4.08338767266839,1.2362741221355418
1,1.651466552679409,1.479516602941865,10.712618294577988,9.465585553424752,4.494976433799471,2.6139417998173435,1.019977288750669
1,1.3560354434032702,1.9063494858817827,6.520936672184806,10.194957076583917,3.4892839681954833,3.2098200754328765,1.0283085219596941
1,1.6616119444704025,2.3328410645322406,10.30340158307434,10.982925890267635,3.799652768540432,4.646904288948406,1.0210857122460015
1,2.631778700526884,1.6048425513820253,10.508616834663728,11.532092646283637,1.845739159036795,2.9619697172385138,1.1149736427955632
1,2.477575793496286,2.7972393227703543,12.086713310854076,10.074423360602442,2.4308766373327657,4.182928325163534,1.0143732448054517
1,2.2608660750811866,1.4109929333094642,7.0154212943699985,6.3259761783755515,2.2633843273041485,3.8926077879597756,1.012234214870521
1,6.369560953507125,1.4766074227130472,10.65554973065374,7.298626914612754,0.8980673085586179,3.202511008016275,1.1610743836097865
1,2.1389739815026925,1.7032478003244131,11.811861063052394,10.355912759668874,2.3390433340082186,2.029459710535546,1.0610653411773465
1,2.9295470280757914,1.4986853089956256,11.717087825679313,11.019531514502942,3.1413168197870203,2.7668732563719045,0.9589441074972208
1,1.6280067794966906,1.4608452118438289,10.239778625956415,9.298211852412473,2.831822453990382,2.441898384667968,1.0555227694200386
1,1.951688786542566,1.6162300954224404,11.481079760639071,11.100550090192238,4.666302340125739,2.538345509581383,1.0048291808900358
1,5.8875589561187285,1.7460139222608995,10.831934268633653,8.999067507247625,-0.3788032457905981,3.774790879533324,1.3204657675465419
1,1.7125071610176748,1.635587620660802,9.978812353564646,10.669063012071659,4.760784056449321,2.4409343436391833,0.9907269727586612
1,2.0522687496252727,1.727261835582947,12.063007691284957,7.520800000000001,2.5688083613477772,2.2653391198046204,1.0096294111258906
1,6.152750220273152,1.7724871483239275,14.02345963118356,9.336500799974727,0.974189368459836,3.3600288634048283,1.0988993862237086
1,16.11170646598776,2.602991961518351,16.5906732271485,8.092922662688142,-9.180522735692294,1.9515561687237444,1.7813376896211481
1,1.615900362834374,2.784786609727419,11.120775872213237,10.746323278219393,3.5618362870632962,4.212121168979795,0.9798764022691004
1,2.4820656647785246,1.4282547617082166,11.685555750346005,9.484164465955027,2.331800563180591,2.6034571700308553,1.0454913891429152
1,2.9498160369071376,1.7498919686453023,10.591147948740023,10.247181670255696,4.166900181796901,4.492216591177363,1.1563881239663607
1,2.30342633606854,2.0412125425782772,9.41117376668111,11.949792769007429,2.3497087269484727,1.8897764950212768,1.0277028175147158
1,14.677436752418197,1.6627824918182663,14.833091893562631,6.809017955612156,-4.702937028809876,2.3988463115168166,1.4490842889387572
1,1.479470440050623,1.7145419184564652,7.789991876600387,11.520257277264907,3.144948661391523,4.204314945911214,1.0927976721504764
1,1.9716066884761305,2.107361836820739,11.26201972044064,9.050822686838684,2.9994815009819296,4.462204780550661,1.0266362317754156
1,1.6122797939500384,1.4938978102018396,9.241665685172148,8.795121137875476,3.7367107046494663,3.4895194497487028,1.0080835727591069
1,1.849069375304128,1.9610777831261657,11.161224182718295,12.872034331077721,3.588106402136548,2.1156911406543806,1.0367845639783875
1,1.5994189299771178,2.786555032590676,11.31962768822368,12.019801971642464,4.268455629504979,4.196341195025072,1.018115792816523
1,1.604482309878733,1.7736148402778087,7.39849223331274,8.923999126886258,2.9784104049981543,4.178172079607436,1.0020578016842743
1,2.4341171294740263,2.367215057723904,8.56703916181081,8.919600295977393,2.027901479709172,4.559078649295078,1.0053170463539287
