Label,wid_x,wid_y,wew_x,wew_y,seed_x,seed_y,trkl_x,trkl_y,trkl_z,trkl_px,trkl_py,trkl_pz,E/p,h4_41,h4_42,h4_43,h4_44,h4_45,h4_46
0,9.86943917503065,8.766456897144506,1.5223561101875804,1.2674641848247785,10.140000000000015,-0.45999999999999375,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,9.076786261338274,9.030452185060652,2.7934804605576606,2.652569614089904,4.610000000000014,5.070000000000007,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,10.515607201188557,10.420841610872548,2.0365217290446367,1.684430874543,4.610000000000014,10.600000000000009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,9.349459705102953,9.551701904757277,1.8268504377533872,1.6327978421135383,15.670000000000016,10.600000000000009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,10.31840736542508,8.42062717082638,2.0347214334560313,1.8845838185541166,4.610000000000014,-0.45999999999999375,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,12.32111730440573,10.079375741565745,2.009789265566565,2.677580874887886,10.140000000000015,5.070000000000007,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,7.466788689479123,9.971957347147718,1.4372161600882376,2.007427570192664,-6.449999999999989,10.600000000000009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,9.752345168620925,11.063289219403575,1.4675042713880686,2.446611212631686,15.670000000000016,-0.45999999999999375,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,15.836106121732247,11.420607041311067,8.507161670515552,1.9606163645569068,21.200000000000017,16.13000000000001,23.037493,17.667566,1896.8486,0.4676934,0.016138354,52.924923,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,10.720739526730423,14.131949617798673,2.1940512072794642,2.102440324086254,15.670000000000016,5.070000000000007,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,9.62557861194559,8.3075934921848,1.6025102488916414,1.4790065696250552,10.140000000000015,10.600000000000009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,9.496413012997147,7.284816822931605,1.986481579408779,1.8472863857259794,4.610000000000014,5.070000000000007,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,10.065710972094193,9.233409035900145,1.7064884449220392,2.3128635899129724,15.670000000000016,-0.45999999999999375,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,9.963420433269054,10.719404876376585,1.6112232354910043,2.1817378379727113,-0.9199999999999875,10.600000000000009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,9.561142039458051,9.450206850248579,1.3942259288950183,1.3915391481186616,15.670000000000016,16.13000000000001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,7.680519197810068,5.924922090217552,1.8876454694073976,1.427749545822861,37.79000000000002,-28.11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,11.751806003843068,8.094770246941719,1.595654833452097,1.4517451663669554,10.140000000000015,16.13000000000001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,10.054967751275084,10.633701809385466,1.8493028762565298,1.7091470856730528,4.610000000000014,5.070000000000007,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,10.272817654022715,10.611661248533482,1.7324797063242403,2.2671640859051303,-0.9199999999999875,21.66000000000001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,6.8377480373455,5.990124317018249,1.5045460765137066,1.3812969359955334,4.610000000000014,10.600000000000009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,6.934174696314499,8.3670493530296,1.3281339961317715,2.7652445543200166,-0.9199999999999875,21.66000000000001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,10.524272460386603,9.91586206896552,2.444339630313407,2.510945826505688,4.610000000000014,10.600000000000009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,10.585165174105004,9.748243495095384,1.7616918840868623,2.5584993022715823,4.610000000000014,-5.989999999999995,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,8.58181174924085,8.411436248543625,1.268208602894401,1.1793525821707365,-0.9199999999999875,-0.45999999999999375,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,10.13122771861857,11.296654953958228,2.0259098679367846,1.491047689636321,21.200000000000017,-0.45999999999999375,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,5.671696743007042,8.908546302951674,2.482523294481507,1.5309164930878196,4.610000000000014,-0.45999999999999375,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,10.786738038695116,10.011862686056196,1.614247176206005,1.5666324317182596,-6.449999999999989,16.13000000000001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
