label,wew_x,wew_y,wid_x,wid_y
1,1.5843338322315998,11.281221905306525,1.4655519574685867,9.981665156781814
1,2.0077390211568695,8.507692307692311,1.5242961481666728,8.338515052695158
1,3.1267033266274984,10.663046012640939,2.135596038828616,10.803723287959938
1,5.345499917514233,12.140333835607652,1.823037319019388,12.363477284324178
1,2.276824160745381,11.703529975562454,1.5493702228850335,10.924366750017544
1,7.384063936498618,14.257261065739346,1.8318221524378169,9.549860930243028
1,1.578011245030958,12.672460480004819,2.043042599519936,11.675091210154726
1,1.7716211569960036,10.030511502411033,2.7183662648953257,9.587105605389402
1,1.7990384900827412,10.771973005791466,1.655933870700959,9.735588165976417
1,2.1124425719385043,11.155498641365163,2.0041025076638683,10.990657623636542
1,1.92500729859925,10.917374123386997,1.7726764290487274,10.106443786020881
1,1.878065733736268,10.524344305579417,1.4545015377750745,7.93070403814458
1,1.7167988729217383,10.505526593081086,1.659471002913343,11.355962581702393
1,1.1847008752498995,6.607135139377733,2.3309392289371904,9.269969201674838
1,9.160754124205752,13.043586865463691,1.8041437251822363,9.077087069357344
1,2.009543643356543,9.31970997847252,1.7105589750697614,9.549860930243025
1,7.081958231210408,9.33323257521371,2.099595360156963,10.555942677160077
1,1.651466552679409,10.712618294577988,1.479516602941865,9.465585553424752
1,1.3560354434032702,6.520936672184806,1.9063494858817827,10.194957076583917
1,1.6616119444704025,10.30340158307434,2.3328410645322406,10.982925890267635
1,2.631778700526884,10.508616834663728,1.6048425513820253,11.532092646283637
1,2.477575793496286,12.086713310854076,2.7972393227703543,10.074423360602442
1,2.2608660750811866,7.0154212943699985,1.4109929333094642,6.3259761783755515
1,6.369560953507125,10.65554973065374,1.4766074227130472,7.298626914612754
1,2.1389739815026925,11.811861063052394,1.7032478003244131,10.355912759668874
1,2.9295470280757914,11.717087825679313,1.4986853089956256,11.019531514502942
1,1.6280067794966906,10.239778625956415,1.4608452118438289,9.298211852412473
1,1.951688786542566,11.481079760639071,1.6162300954224404,11.100550090192238
1,5.8875589561187285,10.831934268633653,1.7460139222608995,8.999067507247625
1,1.7125071610176748,9.978812353564646,1.635587620660802,10.669063012071659
1,2.0522687496252727,12.063007691284957,1.727261835582947,7.520800000000001
1,6.152750220273152,14.02345963118356,1.7724871483239275,9.336500799974727
