label,wew_x,wew_y,wid_x,wid_y,skew_x,skew_y,kurt_x,kurt_y,num_clus
1,1.5843338322315998,1.4655519574685867,11.281221905306525,9.981665156781814,-0.46560605066396027,0.1502340284841469,-0.46560605066396027,0.1502340284841469,1
1,2.0077390211568695,1.5242961481666728,8.507692307692311,8.338515052695158,-0.4271250000000005,-0.07567528085124864,-0.4271250000000005,-0.07567528085124864,1
1,3.1267033266274984,2.135596038828616,10.663046012640939,10.803723287959938,-0.02879139967587538,-0.31259656180004297,-0.02879139967587538,-0.31259656180004297,1
1,5.345499917514233,1.823037319019388,12.140333835607652,12.363477284324178,0.042607183609635634,0.35077236746992985,0.042607183609635634,0.35077236746992985,1
1,2.276824160745381,1.5493702228850335,11.703529975562454,10.924366750017544,-0.10659252010043094,-0.04503080095677227,-0.10659252010043094,-0.04503080095677227,1
1,7.384063936498618,1.8318221524378169,14.257261065739346,9.549860930243028,-0.20897839145947744,-0.3310716310198221,-0.20897839145947744,-0.3310716310198221,1
1,1.578011245030958,2.043042599519936,12.672460480004819,11.675091210154726,-0.12363579879155791,0.14931007170189337,-0.12363579879155791,0.14931007170189337,2
1,1.7716211569960036,2.7183662648953257,10.030511502411033,9.587105605389402,0.3539158941151912,0.06539385246889386,0.3539158941151912,0.06539385246889386,1
1,1.7990384900827412,1.655933870700959,10.771973005791466,9.735588165976417,0.09844158202677489,0.08224765329486278,0.09844158202677489,0.08224765329486278,1
1,2.1124425719385043,2.0041025076638683,11.155498641365163,10.990657623636542,-0.06419383071887694,-0.32482132755389875,-0.06419383071887694,-0.32482132755389875,1
1,1.92500729859925,1.7726764290487274,10.917374123386997,10.106443786020881,-0.06462426340720684,0.03735211059207314,-0.06462426340720684,0.03735211059207314,1
1,1.878065733736268,1.4545015377750745,10.524344305579417,7.93070403814458,1.0370654683610059,-0.047147320491896766,1.0370654683610059,-0.047147320491896766,1
1,1.7167988729217383,1.659471002913343,10.505526593081086,11.355962581702393,-0.03399475399011304,-0.11934001130363413,-0.03399475399011304,-0.11934001130363413,1
1,1.1847008752498995,2.3309392289371904,6.607135139377733,9.269969201674838,-0.1147724349122718,-0.09680668816369513,-0.1147724349122718,-0.09680668816369513,1
1,9.160754124205752,1.8041437251822363,13.043586865463691,9.077087069357344,-0.0010380106975162449,-0.23980694369046612,-0.0010380106975162449,-0.23980694369046612,1
1,2.009543643356543,1.7105589750697614,9.31970997847252,9.549860930243025,-0.07274440216865471,0.16677313607432054,-0.07274440216865471,0.16677313607432054,1
1,7.081958231210408,2.099595360156963,9.33323257521371,10.555942677160077,-0.11345867165305465,-0.1858593088432728,-0.11345867165305465,-0.1858593088432728,2
1,1.651466552679409,1.479516602941865,10.712618294577988,9.465585553424752,-0.05891752973859307,-0.21859256053350856,-0.05891752973859307,-0.21859256053350856,1
1,1.3560354434032702,1.9063494858817827,6.520936672184806,10.194957076583917,-0.09897400440428351,-0.6595432843294391,-0.09897400440428351,-0.6595432843294391,2
1,1.6616119444704025,2.3328410645322406,10.30340158307434,10.982925890267635,-0.39762260257083176,0.12528623095696959,-0.39762260257083176,0.12528623095696959,1
1,2.631778700526884,1.6048425513820253,10.508616834663728,11.532092646283637,-0.4641660902178737,-0.41278797091698755,-0.4641660902178737,-0.41278797091698755,1
1,2.477575793496286,2.7972393227703543,12.086713310854076,10.074423360602442,0.18936969968852496,-0.03392101139440492,0.18936969968852496,-0.03392101139440492,1
1,2.2608660750811866,1.4109929333094642,7.0154212943699985,6.3259761783755515,0.177933248289864,-0.12819035064495526,0.177933248289864,-0.12819035064495526,1
1,6.369560953507125,1.4766074227130472,10.65554973065374,7.298626914612754,0.022127712894760402,2.3581151495482847e-18,0.022127712894760402,2.3581151495482847e-18,1
1,2.1389739815026925,1.7032478003244131,11.811861063052394,10.355912759668874,-0.35224095534010236,-0.051414781740584475,-0.35224095534010236,-0.051414781740584475,1
1,2.9295470280757914,1.4986853089956256,11.717087825679313,11.019531514502942,0.5991725830840938,0.5675261308317635,0.5991725830840938,0.5675261308317635,1
1,1.6280067794966906,1.4608452118438289,10.239778625956415,9.298211852412473,-0.25169233056101015,-0.17121829325898924,-0.25169233056101015,-0.17121829325898924,2
1,1.951688786542566,1.6162300954224404,11.481079760639071,11.100550090192238,0.31607067949732565,-1.0198031880258318,0.31607067949732565,-1.0198031880258318,1
1,5.8875589561187285,1.7460139222608995,10.831934268633653,8.999067507247625,0.18760720714995185,0.08258027832161002,0.18760720714995185,0.08258027832161002,1
1,1.7125071610176748,1.635587620660802,9.978812353564646,10.669063012071659,0.26258341934218504,0.059310369517525566,0.26258341934218504,0.059310369517525566,1
1,2.0522687496252727,1.727261835582947,12.063007691284957,7.520800000000001,0.675449690231526,-0.14868715652350858,0.675449690231526,-0.14868715652350858,1
1,6.152750220273152,1.7724871483239275,14.02345963118356,9.336500799974727,0.3475765418649809,0.2189266115573673,0.3475765418649809,0.2189266115573673,1
1,16.11170646598776,2.602991961518351,16.5906732271485,8.092922662688142,-0.10226075106478019,-0.5166230939602547,-0.10226075106478019,-0.5166230939602547,1
1,1.615900362834374,2.784786609727419,11.120775872213237,10.746323278219393,-0.8130189655373492,-0.34289144419825873,-0.8130189655373492,-0.34289144419825873,1
1,2.4820656647785246,1.4282547617082166,11.685555750346005,9.484164465955027,-0.14879020329044249,0.15227852554013552,-0.14879020329044249,0.15227852554013552,1
1,2.9498160369071376,1.7498919686453023,10.591147948740023,10.247181670255696,-0.11771284532131356,-0.16897743924595374,-0.11771284532131356,-0.16897743924595374,1
