evt_num,gpz,wid_x,wid_y,wew_x,wew_y,seed_x,seed_y,trkl_x,trkl_y,trkl_z,trkl_px,trkl_py,trkl_pz,E/p,h4_41,h4_42,h4_43,h4_44,h4_45,h4_46
22.808613,9.102157711224303,9.502603261738336,4.989186507078253,4.246186307303832,-11.97999999999999,-0.45999999999999375,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
71.38631,14.514421181095107,5.213733999948811,7.009732836395008,2.3323735276162094,4.610000000000014,-0.45999999999999375,10.487788,4.5810304,1896.8287,-0.20855221,-0.11160166,51.117336,0.011906588,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,9.891231536865234,-10.165332794189453
48.576927,8.171674376122375,7.820600999923214,2.6722454909885167,1.4518177456313295,10.140000000000015,21.66000000000001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
30.968475,5.354399476131755,5.82457603070816,1.768802601514851,4.267116069721123,4.610000000000014,-0.45999999999999375,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
75.33152,14.945446590159683,13.25082836521835,4.97291625478553,3.2914201949377757,10.140000000000015,10.600000000000009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
75.33152,0.0,0.0,0.0,0.0,26.730000000000018,65.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
73.73505,0.0,0.0,0.0,0.0,4.610000000000014,10.600000000000009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
45.417534,0.0,0.0,1.1102230246251565e-16,0.0,-0.9199999999999875,16.13000000000001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
58.640583,0.0,0.0,0.0,0.0,-0.9199999999999875,5.070000000000007,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
6.6087565,0.0,7.8206009999232124,1.1055898899795395e-06,7.467657899568234,-23.039999999999992,10.600000000000009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
79.87588,6.713709026230501,8.637975585877877,1.4801290205908417,1.9153265089723412,21.200000000000017,-28.11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
79.87588,8.31341289724022,12.9099149881012,4.0420984676091685,5.767357792160083,-34.099999999999994,16.13000000000001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
79.87588,9.144377968866992,7.766101374277546,5.40006401635896,3.705141355593766,10.140000000000015,10.600000000000009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
79.87588,26.332016633748356,10.982136631821696,4.563621632651104,2.1454612324357694,-50.69,-28.11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
79.87588,0.0,0.0,0.0,0.0,181.57,93.55000000000001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
79.87588,2.765000000000015,0.0,2.733390488599212,1.9252737123978005e-06,176.04000000000002,60.370000000000005,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
79.87588,4.585233772666344,2.7650000000000006,2.815342383922626,1.463635340756586,170.51,-77.88,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
79.87588,11.59982586076187,6.636000000000001,8.362276150841108,5.427139166537194,54.380000000000024,-83.41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56.15536,9.74689124228279,8.781288186947416,1.8719349050419511,1.8395683346232992,4.610000000000014,10.600000000000009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
29.516628,13.015992560169547,11.67419179185675,6.444680834381877,6.068265142219897,4.610000000000014,16.13000000000001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19.425407,0.0,0.0,0.0,0.0,-11.97999999999999,16.13000000000001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56.516785,10.8446247237721,10.523971045895145,5.9562169149411694,3.8068289647774725,-11.97999999999999,5.070000000000007,1.2654952,9.324046,1896.8088,-0.00459869,-0.39055207,48.793053,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56.516785,6.707218388601695,8.964911489609301,3.3524031477868785,4.6621041572733075,32.26000000000002,21.66000000000001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56.516785,13.06326807653836,18.525270728266175,12.695448468416279,15.547849118696263,43.32000000000002,-55.76,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56.516785,11.975993528722368,9.514171745349147,6.1896253693672465,6.06846607968616,26.730000000000018,71.43,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
