Label,gpz,wid_x,wid_y,wew_x,wew_y,seed_x,seed_y,trkl_x,trkl_y,trkl_z,trkl_px,trkl_py,trkl_pz,E/p,h4_41,h4_42,h4_43,h4_44,h4_45,h4_46
0,52.54398,9.382916966,10.08411765,1.970170368,1.614171666,-6.45,-0.46,-0.59738344,3.2310987,1859.8728,-0.32864362,-0.06039779,49.96745,1.0078502,-9999,-9999,-9999,-9999,-9999,-9999
0,42.78598,13.08261259,17.47972947,1.829469548,2.629711279,-0.92,5.07,2.1596959,9.596946,1896.819,-0.5802645,-0.075642064,50.33106,0.9562624,-9999,-9999,-9999,-9999,-9999,-9999
0,5.1389074,8.043357066,8.53525041,2.115994161,2.233251028,-45.16,-0.46,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,5.1389074,2.765,0,1.204755268,2.15E-08,4.61,-0.46,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,47.09817,10.85035594,10.976168,2.130644437,1.623304163,-0.92,16.13,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,48.83066,10.0527459,13.3379484,2.257063099,2.660673838,10.14,-5.99,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,37.05676,10.66906301,10.26324564,1.774407473,1.766596911,4.61,10.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,37.05676,3.532987404,4.996398703,1.545901464,1.539452032,-194.47,10.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,15.382836,10.00624746,8.446073863,3.147187545,1.529867544,-6.45,10.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,11.437565,7.627278937,12.77878037,1.471982513,3.108212583,-34.1,21.66,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,11.437565,5.58730723,6.318628323,2.137141632,2.111550657,4.61,21.66,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,53.282543,10.46778572,10.07407699,1.497774091,1.851648873,-0.92,10.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,11.784038,8.432373816,9.187000144,1.502598678,2.122717377,-17.51,16.13,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,60.9934,11.53877432,8.819010902,1.548235229,2.019080291,-0.92,16.13,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
