Label,gpz,wid_x,wid_y,wew_x,wew_y,seed_x,seed_y,trkl_x,trkl_y,trkl_z,trkl_px,trkl_py,trkl_pz,E/p,h4_41,h4_42,h4_43,h4_44,h4_45,h4_46
1,62.595596,11.170668203567184,9.171909782904756,1.567477109416274,1.6374127499300704,4.610000000000014,16.13000000000001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,54.829105,14.569039483377932,10.28559107605313,2.1456651337499437,2.051134591743873,4.610000000000014,5.070000000000007,7.2740164,7.164345,1896.8167,0.3523415,-0.091675304,49.82785,1.0327632,-9999,-9999,-9999,-9999,-9999,-9999
1,34.217945,15.0527524372621,9.577243180451253,6.416821587125021,1.5704162890115432,15.670000000000016,16.13000000000001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,12.131274,12.835704942115905,6.689101340881467,4.480509995112108,2.307214552803147,32.26000000000002,-5.989999999999995,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,12.451613,6.113645030221789,7.868728229556366,1.5788598863596839,1.8792628138250271,48.85000000000002,21.66000000000001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,12.451613,7.5576480884002,7.852851037775236,1.8875945892846973,2.2028253993999685,10.140000000000015,21.66000000000001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,40.86419,8.554574190314451,12.004788560946048,1.739668720891074,2.995563429561571,4.610000000000014,16.13000000000001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,15.628466,14.295076545456745,10.378557846139724,9.31426072261257,1.9692114091948656,37.79000000000002,5.070000000000007,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,61.59308,9.919578992221401,11.082827681665346,2.211022884407828,1.4850822427392978,10.140000000000015,5.070000000000007,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,7.9509215,8.614371230087011,8.097333202119671,2.112751839429471,2.8383520483644396,82.03000000000003,10.600000000000009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,43.392437,11.465399972429127,9.532556539674905,3.8947114365182007,1.5902138220982651,26.730000000000018,-0.45999999999999375,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,40.1783,8.96916414807358,10.649575213934726,1.849972654716343,1.6628159252545427,21.200000000000017,10.600000000000009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,35.14387,9.31851137902335,10.887983295675724,1.942147495400812,3.0529525356067437,10.140000000000015,5.070000000000007,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,60.044506,11.871880959980276,9.87487015036259,2.927570973044911,1.5374773961493071,4.610000000000014,5.070000000000007,5.798624,7.4311237,1896.8115,0.29595193,0.12679274,50.080772,1.1160444,-9999,-9999,-9999,-9999,-9999,-9999
1,30.78464,11.454787911173451,8.08831902095702,7.99068169528498,1.5931627763567002,21.200000000000017,10.600000000000009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
