Label,wid_x,wid_y,wew_x,wew_y,seed_x,seed_y,trkl_x,trkl_y,trkl_z,trkl_px,trkl_py,trkl_pz,E/p,h4_41,h4_42,h4_43,h4_44,h4_45,h4_46
1,11.170668203567184,9.171909782904756,1.567477109416274,1.6374127499300704,4.610000000000014,16.13000000000001,7.144833,18.067787,1896.8153,0.30585444,-0.009390437,52.134506,1.023411,-9999,-9999,-9999,-9999,-9999,-9999
1,14.569039483377932,10.28559107605313,2.1456651337499437,2.051134591743873,4.610000000000014,5.070000000000007,7.2740164,7.164345,1896.8167,0.3523415,-0.091675304,49.82785,1.0327632,-9999,-9999,-9999,-9999,-9999,-9999
1,15.0527524372621,9.577243180451253,6.416821587125021,1.5704162890115432,15.670000000000016,16.13000000000001,16.771172,19.252417,1896.8193,0.53306407,-0.013320416,49.52671,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,12.835704942115905,6.689101340881467,4.480509995112108,2.307214552803147,32.26000000000002,-5.989999999999995,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,6.113645030221789,7.868728229556366,1.5788598863596839,1.8792628138250271,48.85000000000002,21.66000000000001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,7.5576480884002,7.852851037775236,1.8875945892846973,2.2028253993999685,10.140000000000015,21.66000000000001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,8.554574190314451,12.004788560946048,1.739668720891074,2.995563429561571,4.610000000000014,16.13000000000001,9.378538,21.925144,1896.8054,0.42721182,0.15854585,49.745842,1.0260062,-9999,-9999,-9999,-9999,-9999,-9999
1,14.295076545456745,10.378557846139724,9.31426072261257,1.9692114091948656,37.79000000000002,5.070000000000007,39.383595,8.124277,1896.8986,0.4842346,-0.01185939,12.662002,1.2044824,-9999,-9999,-9999,-9999,-9999,-9999
1,9.919578992221401,11.082827681665346,2.211022884407828,1.4850822427392978,10.140000000000015,5.070000000000007,16.387993,8.882464,1896.8279,0.3098365,-0.03709881,47.088802,1.2401546,-9999,-9999,-9999,-9999,-9999,-9999
1,8.614371230087011,8.097333202119671,2.112751839429471,2.8383520483644396,82.03000000000003,10.600000000000009,84.147995,16.406143,1896.8899,2.9674528,-0.09064054,44.36244,1.0373836,-9999,-9999,-9999,-9999,-9999,-9999
1,11.465399972429127,9.532556539674905,3.8947114365182007,1.5902138220982651,26.730000000000018,-0.45999999999999375,28.025858,2.274583,1859.8032,0.5046765,-0.1706159,49.71059,1.1408259,-9999,-9999,-9999,-9999,-9999,-9999
1,8.96916414807358,10.649575213934726,1.849972654716343,1.6628159252545427,21.200000000000017,10.600000000000009,26.002821,14.41936,1896.8362,0.5899174,0.02253973,49.916733,0.98919106,-9999,-9999,-9999,-9999,-9999,-9999
1,9.31851137902335,10.887983295675724,1.942147495400812,3.0529525356067437,10.140000000000015,5.070000000000007,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,11.871880959980276,9.87487015036259,2.927570973044911,1.5374773961493071,4.610000000000014,5.070000000000007,5.798624,7.4311237,1896.8115,0.29595193,0.12679274,50.080772,1.1160444,-9999,-9999,-9999,-9999,-9999,-9999
1,11.454787911173451,8.08831902095702,7.99068169528498,1.5931627763567002,21.200000000000017,10.600000000000009,25.531832,12.820301,1896.8317,0.22530876,-0.031712852,12.376985,1.5950245,-9999,-9999,-9999,-9999,-9999,-9999
1,11.108804909352218,8.768229377131371,3.6201611833036376,1.5119586482673615,21.200000000000017,5.070000000000007,26.113232,7.7408686,1896.8439,0.62446254,-0.10971999,49.27612,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,27.372103499731253,9.477942485054445,8.31603564728996,2.8489361315212114,-128.11,5.070000000000007,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,13.597182943536506,8.60193559613184,3.500156142605935,1.5841359943152933,15.670000000000016,10.600000000000009,21.512644,14.955039,1896.837,0.29264167,0.058893833,50.068092,1.0497867,-9999,-9999,-9999,-9999,-9999,-9999
1,9.144785816063234,10.129673862567518,2.1081507994275785,1.5274621593238913,15.670000000000016,-5.989999999999995,20.962769,-2.4881887,1859.8197,0.35603994,-0.09332335,49.595245,1.0228297,-9999,-9999,-9999,-9999,-9999,-9999
1,10.62057499938112,8.58315299519252,1.6136113369757485,1.5532414331758513,10.140000000000015,10.600000000000009,13.100104,12.901746,1896.818,0.49656302,-0.1237507,49.916782,1.0054637,-9999,-9999,-9999,-9999,-9999,-9999
1,12.098351939752776,9.191545646630715,4.565958209195126,2.758492777143349,21.200000000000017,10.600000000000009,21.960274,16.345785,1896.8325,0.6603711,0.07726192,49.88856,-9999,-9999,-9999,-9999,-9999,-9999,-9999
