Label,wid_x,wid_y,wew_x,wew_y,seed_x,seed_y,trkl_x,trkl_y,trkl_z,trkl_px,trkl_py,trkl_pz,E/p,h4_41,h4_42,h4_43,h4_44,h4_45,h4_46
1,6.280872630455104,4.283519580905404,1.8893666614855054,1.094790813961537,-105.99,-17.049999999999997,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,6.911681904251826,5.546336815503178,2.0546649598055082,1.4572050301066404,-17.50999999999999,-17.049999999999997,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,10.240584875724068,8.654873878626692,4.693195739245806,2.7992086892875583,-11.97999999999999,10.600000000000009,-6.926541,11.346629,1896.7903,-0.71832174,-0.14467928,48.985653,1.1929648,-9999,-9999,-9999,-9999,-9999,-9999
1,9.553265066850184,9.488964267563334,2.5092269795153626,1.5483096224320163,-0.9199999999999875,10.600000000000009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,17.487395460731136,6.385493977237262,3.9943323337356382,1.5434605186244437,-155.76,10.600000000000009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,8.510392031429342,10.868445232368364,1.538173403723172,1.7786020963023013,-6.449999999999989,16.13000000000001,-3.297831,18.220491,1896.7902,-0.6533196,0.09876727,49.90421,0.9976836,-9999,-9999,-9999,-9999,-9999,-9999
1,10.454863966382135,11.381362933419803,4.740560974329845,3.005456802465292,10.140000000000015,10.600000000000009,5.9166427,10.951971,1896.8182,-0.512402,0.06316773,48.992973,2.2189646,-9999,-9999,-9999,-9999,-9999,-9999
1,9.157786859279922,7.611337396279317,1.8469919170869582,1.6010587436629797,-11.97999999999999,16.13000000000001,-6.93338,19.928959,1896.7793,-1.1327311,0.26907977,49.102974,0.98917925,-9999,-9999,-9999,-9999,-9999,-9999
1,19.21763294477236,10.843451480040846,3.2197133578403125,2.5309832159763874,4.610000000000014,10.600000000000009,6.811847,15.947702,1896.8131,-0.6846513,0.20438272,50.132812,0.9986336,-9999,-9999,-9999,-9999,-9999,-9999
1,11.844131734222595,9.58173858911136,3.0218262797442823,2.95346189643092,10.140000000000015,10.600000000000009,11.303355,11.054072,1896.8231,-0.29258862,0.051639393,50.1974,1.0704771,-9999,-9999,-9999,-9999,-9999,-9999
1,8.637975585877879,7.134341050315877,1.862322434507961,1.4768165036393677,-6.449999999999989,10.600000000000009,-2.9878778,13.172561,1896.7764,-1.2414008,0.109646566,46.348907,1.0252118,-9999,-9999,-9999,-9999,-9999,-9999
1,9.841367727607786,9.659345215903613,1.6379480802055364,1.5900260582405992,10.140000000000015,10.600000000000009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,8.442226509029007,5.46101601057611,1.5128586962637889,1.415664972375859,-56.22,10.600000000000009,-49.197605,16.187695,1896.6823,-3.0711298,0.24067417,40.88521,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,10.06939287588328,9.907809495544413,2.009197654692948,1.8049167279970313,-0.9199999999999875,5.070000000000007,4.16872,6.7483587,1896.8125,-0.5467134,-0.08906986,49.562206,0.9898284,-9999,-9999,-9999,-9999,-9999,-9999
1,9.781832048354861,9.571143342824248,1.7514613487696287,2.148380119515447,4.610000000000014,5.070000000000007,7.548327,10.408791,1896.8192,-0.30756944,-0.004091283,51.944317,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1,10.093722875780552,6.75714308261183,3.0926169140326256,2.6128771348714386,-0.9199999999999875,10.600000000000009,2.3896627,11.526036,1896.8192,-0.7893439,-0.2613491,44.817734,1.0691485,-9999,-9999,-9999,-9999,-9999,-9999
1,13.328971270825976,9.140396565616356,3.3617116521840043,1.7542595160835097,-6.449999999999989,16.13000000000001,-1.8210984,18.685677,1896.8007,-0.259409,0.09784175,49.721054,1.1656696,-9999,-9999,-9999,-9999,-9999,-9999
1,10.862735764199934,10.190480090809041,1.6718847525453517,1.8739925045219843,-11.97999999999999,5.070000000000007,-8.801558,6.7006373,1896.8011,-0.503956,-0.14053994,49.783432,1.0249956,-9999,-9999,-9999,-9999,-9999,-9999
1,9.099490660523664,9.569931568121184,1.5037698932342538,1.8652706906558671,4.610000000000014,10.600000000000009,8.623393,12.113127,1896.8248,-0.47944516,0.14225824,49.517666,1.0307766,-9999,-9999,-9999,-9999,-9999,-9999
1,9.931833717702576,10.863846507453058,1.9946945247480297,2.055671926793468,-0.9199999999999875,10.600000000000009,1.5659562,15.513559,1896.8157,-0.61002743,0.18857262,49.447453,1.030062,-9999,-9999,-9999,-9999,-9999,-9999
1,9.287867833302156,7.9872954677343015,2.6762411257410235,1.9664256748969293,-56.22,5.070000000000007,-49.95281,10.138176,1896.7324,-1.8377463,-0.06505749,35.290173,1.0419762,-9999,-9999,-9999,-9999,-9999,-9999
1,9.9877997577044,9.563895440666426,1.6475514528929862,1.5487217269163907,10.140000000000015,5.070000000000007,13.233379,8.379583,1896.8304,-0.25206488,-0.04280816,52.346783,1.0154732,-9999,-9999,-9999,-9999,-9999,-9999
1,11.09802005025278,11.706339158430131,1.969197866290782,1.6893643402567853,4.610000000000014,10.600000000000009,10.012323,14.3266325,1896.8177,-0.37832,-0.06953658,49.94763,1.020502,-9999,-9999,-9999,-9999,-9999,-9999
1,13.38610429936991,7.1813188368632135,2.041516361652693,2.059680287063741,-0.9199999999999875,-0.45999999999999375,1.1282247,4.9229264,1896.805,-0.51082486,-0.14300784,49.29073,1.0182718,-9999,-9999,-9999,-9999,-9999,-9999
1,8.779839534326396,7.774187527708369,1.960165707847404,2.595303286745223,10.140000000000015,-0.45999999999999375,13.745679,5.3142304,1896.8314,-0.27236867,-0.13453476,52.51571,1.0733708,-9999,-9999,-9999,-9999,-9999,-9999
1,9.296962728344255,8.694985943378837,2.374817253817916,2.1247741892702217,-23.039999999999992,5.070000000000007,-16.396215,6.578226,1896.7749,-1.0512177,-0.2606287,48.805244,0.99633545,-9999,-9999,-9999,-9999,-9999,-9999
1,10.812956602076747,10.60139268090242,1.765943554051257,2.327726243133571,-6.449999999999989,5.070000000000007,-1.5101646,10.414927,1896.8008,-0.25491917,0.10729677,50.279705,1.021439,-9999,-9999,-9999,-9999,-9999,-9999
